,diameter,average_shortest_path_length,average_clustering_coefficient,average_degree,n_nodes,n_edges,avg_degree_centrality
0,4,2.66233037414702,0.05584997895072154,15.872382851445662,1003,7960,0.015840701448548565
1,6,3.5240850332264357,0.42883401154258993,14.0,1044,7308,0.013422818791946307
2,5,3.2508068234209313,0.41281349243031784,16.0,964,7712,0.016614745586708203
3,4,2.6883460624711004,0.050638099124706626,15.87958607714017,1063,8440,0.01495252926284385
4,4,2.745477105096599,0.04760204114476157,13.899897854954034,979,6804,0.014212574493818032
5,5,3.4868498527968597,0.4236018964695433,14.0,1020,7140,0.013738959764474977
6,5,3.435529132835191,0.42011600133949967,14.0,947,6629,0.014799154334038056
7,6,3.464743379546438,0.4273217956195917,14.0,957,6699,0.014644351464435145
8,5,3.3059580217664912,0.42508376983452867,16.0,1040,8320,0.015399422521655439
9,4,2.7431894723842656,0.04848069649385985,13.899795501022496,978,6797,0.014227016889480547
10,5,3.4380668245086903,0.412187426860468,14.0,971,6797,0.01443298969072165
11,5,3.4078709337536273,0.4026007834195383,14.0,959,6713,0.014613778705636743
12,4,2.726556490731972,0.05200573425000114,13.896733403582719,949,6594,0.014659001480572486
13,4,2.725603988421629,0.04874368651159326,13.89336235038085,919,6384,0.015134381645295047
14,5,3.3270848627831113,0.3713501810208041,14.0,918,6426,0.015267175572519087
15,4,2.740773514559441,0.0502206935690095,13.902874132804758,1009,7014,0.013792533861909482
16,4,2.7117780730641092,0.053444951440407666,13.892543859649123,912,6335,0.015249773720800355
17,5,3.284076725559882,0.4006894639318917,16.0,1085,8680,0.014760147601476014
18,5,3.265428564467401,0.41029359044333846,16.0,993,7944,0.016129032258064516
19,5,3.380215895461145,0.3659291654690818,14.0,1023,7161,0.0136986301369863
20,5,3.441494579383571,0.4135809439586054,14.0,970,6790,0.014447884416924664
21,4,2.7528885179840548,0.04853606283274287,13.903732809430256,1018,7077,0.013671320363254922
22,5,3.3776108507235056,0.3973659923882449,14.0,928,6496,0.015102481121898598
23,5,3.3197961917400067,0.42845024736645726,16.0,1058,8464,0.015137180700094607
24,5,3.326522260157822,0.3600218455422393,14.0,941,6587,0.014893617021276595
25,5,3.269188797264645,0.39983371399921125,16.0,1043,8344,0.015355086372360847
26,5,3.42093494855978,0.4057475976869824,14.0,971,6797,0.014432989690721652
27,4,2.8179701566161057,0.044394284250542856,11.920088790233075,901,5370,0.01324454310025897
28,6,3.600330496978666,0.3928840781569785,12.0,901,5406,0.013333333333333334
29,6,3.6050410008036584,0.3987969623170931,12.0,919,5514,0.013071895424836602
30,4,2.7326963272618694,0.051737844264724345,13.900608519269777,986,6853,0.014112292912964243
31,4,2.7655490489808887,0.044352648312960125,13.906666666666666,1050,7301,0.013257070225611692
32,5,3.2480799302793266,0.38092535911753694,16.0,1062,8496,0.01508011310084826
33,4,2.6920514941168987,0.051236644434614086,15.881371640407785,1079,8568,0.01473225569611112
34,5,3.362308055363474,0.37874862871645393,14.0,955,6685,0.014675052410901468
35,4,2.717201495461523,0.05356095116805607,13.894849785407725,932,6475,0.014924650682500241
36,5,3.2842253393254346,0.4045082342453553,16.0,1050,8400,0.015252621544327931
37,4,2.734761966701353,0.04939706338136559,13.898022892819979,961,6678,0.014477107180020812
38,5,3.3361502047423546,0.43077104928568044,16.0,1062,8496,0.01508011310084826
39,4,2.692995626110205,0.04848746955108893,15.87832699619772,1052,8352,0.015107827779445974
40,5,3.2222481989941554,0.37177219426256913,16.0,1051,8408,0.01523809523809524
41,4,2.7194170935230844,0.052522037464461054,13.895522388059701,938,6517,0.014829799773809712
42,4,2.6788367111321305,0.05515515357151555,15.880708294501398,1073,8520,0.014814093558303541
43,5,3.2853221891206004,0.4166030241261979,16.0,1008,8064,0.015888778550148957
44,4,2.6299070980654458,0.0524206672112313,17.849860982391103,1079,9630,0.01655831259962069
45,5,3.356193301198863,0.39317593179667426,14.0,900,6300,0.015572858731924362
46,5,3.301046533578744,0.4274559024550589,16.0,1009,8072,0.015873015873015872
47,5,3.2618192566319366,0.39708158982902286,16.0,1041,8328,0.015384615384615384
48,4,2.7444816943591537,0.04865015087152822,13.902390438247012,1004,6979,0.013860808014204397
49,4,2.8135916873234565,0.045874370725164836,11.921139101861993,913,5442,0.013071424453796044
50,4,2.7323919777511474,0.051147423353629894,13.89585547290117,941,6538,0.014782824971171454
51,5,3.4164924545103883,0.4195516429578235,14.0,917,6419,0.015283842794759828
52,4,2.7241923195166615,0.04935745857241919,13.896624472573839,948,6587,0.014674365863330346
53,5,3.2079233542159393,0.38217643332022416,16.0,999,7992,0.01603206412825651
54,4,2.743689052100267,0.04981604154989,13.898234683281412,963,6692,0.014447229400500429
55,5,3.4572384420505924,0.4247753161189159,14.0,973,6811,0.014403292181069961
56,5,3.3521442922493963,0.37238531736631536,14.0,958,6706,0.014629049111807733
