,graph_type,neighbours,prob_reconnect,beta,threshold_infected,iterations,percentage_initially_infected,currently_infected
0,barabasi_albert,41,0.016128167596624415,0.003313348074672452,0.2820673384657062,13,0.016463526235238946,984
1,watts_strogatz,27,0.01366075673239553,0.0028999681175238693,0.48457442357126623,50,0.029545774474060545,1462
2,watts_strogatz,82,0.049364831791201685,0.004826153126196967,0.4222951364208115,15,0.014054849322172745,892
3,barabasi_albert,61,0.1587103980428392,0.004898346205949216,0.24872687600410703,6,0.03874452641113732,1619
4,barabasi_albert,2,0.2418536233915509,0.0036763198720840026,0.49774160982612253,50,0.023491880784169195,107
5,watts_strogatz,31,0.04347763316932168,0.00453892099018848,0.2334424090201255,17,0.04311643508939321,791
6,watts_strogatz,51,0.028247794170048357,0.008435237978770469,0.35990271614146563,11,0.03043294568631264,640
7,watts_strogatz,49,0.018530381967232917,0.00927962261120974,0.32168159948901676,10,0.03765766603074219,661
8,watts_strogatz,134,0.054530020512187805,0.005338703430148783,0.4156940015645425,8,0.024579336664480603,2066
9,barabasi_albert,17,0.15728530195253182,0.004973383123893745,0.30111632063643734,16,0.04021755309210832,740
10,watts_strogatz,38,0.06641668700755213,0.006245071506874307,0.4541809285414501,16,0.04914340190581391,982
11,watts_strogatz,11,0.14279121350564958,0.0013320226131120147,0.3253975021609832,50,0.02336700023407704,66
12,barabasi_albert,5,0.11799445938069344,0.00394474632684895,0.36196687384980075,50,0.04469728102452929,445
13,barabasi_albert,8,0.01940213463698262,0.007895124589240788,0.3026485420642748,28,0.02426165153780526,199
14,watts_strogatz,23,0.18566686236676339,0.0041235355673618496,0.26364133390704825,26,0.041383812918993984,154
15,barabasi_albert,22,0.1490667342704592,0.009706608989739327,0.21645865666698033,9,0.021790309458691114,1021
16,barabasi_albert,4,0.2448473568314111,0.006714803100033964,0.266340912137935,45,0.016779176007185342,116
17,watts_strogatz,179,0.09814566777315603,0.006250347670114998,0.37637282103692693,7,0.01980880777733404,3291
18,watts_strogatz,102,0.1162015669932441,0.0014360931212474518,0.2789145315348027,26,0.013729243978301428,760
19,watts_strogatz,18,0.20994481527136785,0.003257241492661282,0.4669327299311103,50,0.035118896057177655,999
20,watts_strogatz,38,0.09699788793052039,0.0069837581061232895,0.47894458384315364,16,0.03730618857052296,1070
21,barabasi_albert,7,0.1985736774534377,0.00641322568545629,0.236296001696528,23,0.031015044075946137,823
22,watts_strogatz,21,0.16388909044973107,0.006414525745239246,0.31383903224855914,23,0.03777433582588404,284
23,watts_strogatz,137,0.03322756981927166,0.009601563494024728,0.3341546125391124,5,0.04692633497309603,2543
24,watts_strogatz,51,0.22909755748800553,0.008099945751638369,0.3742006637927412,16,0.010228307913386706,520
25,watts_strogatz,104,0.14421528636686534,0.008270421212548892,0.4769767027718592,8,0.023112208436294017,2561
26,watts_strogatz,42,0.0955114084281298,0.003008181602012182,0.4118241890665759,32,0.030576017744557683,832
27,barabasi_albert,1,0.034856011960847366,0.009975982471129487,0.3762473807210157,50,0.046680766620838095,13
28,watts_strogatz,2,0.050009112505655914,0.002322057071741667,0.48345365430449183,50,0.01035674696835701,2
29,watts_strogatz,2,0.033987088907030644,0.0025759474501618664,0.4442307181296209,50,0.03580085333976634,26
30,barabasi_albert,23,0.027605583444171855,0.009362800223892236,0.28474911333211494,10,0.015622509475960077,996
31,barabasi_albert,12,0.19357163049830842,0.004508498347008323,0.3763301238186454,27,0.028201522881986373,1552
32,watts_strogatz,42,0.16157184716345566,0.005769913369286753,0.2929113327175282,15,0.028939890396802725,1551
33,barabasi_albert,70,0.07187450137537715,0.008200863464258927,0.4987640826443817,7,0.02206604783980256,3688
34,watts_strogatz,5,0.17254951795493798,0.004296615813969085,0.4067877959849635,50,0.018077838349949554,47
35,barabasi_albert,4,0.04741519188637333,0.0037659012881988436,0.44139624140538913,50,0.016872370553471922,64
36,watts_strogatz,45,0.0938902638705488,0.007633177033211502,0.3632907370485195,11,0.04820792339892615,1784
37,barabasi_albert,32,0.07333293573857458,0.005470289228013647,0.4612425054417359,12,0.03445886022988797,918
38,watts_strogatz,73,0.05905954297346647,0.004478604112738531,0.4179537440649939,12,0.04678443237794498,2101
39,barabasi_albert,62,0.24081720345732638,0.0031231042477503847,0.48222005825601727,11,0.041993640060576584,2421
40,watts_strogatz,74,0.21466220742671158,0.0034804005016234527,0.3123343530600913,18,0.015019783420072992,1597
41,barabasi_albert,22,0.12863156633886344,0.0032702097339788686,0.32842265509116786,21,0.03649521419381265,403
42,barabasi_albert,62,0.07593208292092665,0.00948685173973753,0.49159301984160725,6,0.04756417713690502,3530
43,watts_strogatz,66,0.04522823894395142,0.0026019681441719423,0.4010213457462789,19,0.04359197505498238,1284
44,barabasi_albert,99,0.09867970862368164,0.0035706141420630178,0.4754213898953995,8,0.02964139723289492,3087
45,watts_strogatz,4,0.11684432588078872,0.0032157063138956127,0.2505997541449623,50,0.03979950400821678,7
46,watts_strogatz,65,0.02704756775764408,0.003397070980196877,0.3456528923955402,21,0.021112938999698506,1087
47,watts_strogatz,89,0.13884201914341524,0.003873421558963993,0.26514892393547457,14,0.01891484784750733,1354
48,barabasi_albert,20,0.21959239248318155,0.0052510622920637715,0.3398593727109185,15,0.02156341290246628,1125
49,barabasi_albert,1,0.12632883188205601,0.0016218978279360597,0.37500584309306983,50,0.03184252743012065,13
50,barabasi_albert,12,0.004316122001984557,0.00482218281683208,0.3554446298127426,26,0.032861512972616296,465
51,watts_strogatz,12,0.03168498159886124,0.0070197020559989096,0.2748327306258761,41,0.0359181456775155,152
52,barabasi_albert,21,0.13396452267911665,0.002943521933286299,0.4950306572737452,26,0.032660562588337494,707
53,watts_strogatz,115,0.23552955932414169,0.0027328266268019075,0.36476752819978553,16,0.01945233381552856,1265
54,barabasi_albert,2,0.004414491516216534,0.003958584749256117,0.4748250791072439,50,0.04346717896709132,214
55,watts_strogatz,68,0.0024182647393095336,0.00478032357165689,0.40898961897765873,13,0.03751691631855456,954
56,watts_strogatz,2,0.0268178001727025,0.00872749023563377,0.4267205095881975,50,0.010297746664519493,29
57,barabasi_albert,3,0.05699360636409401,0.005197403332452583,0.3486267038503237,50,0.044525560209698486,478
58,watts_strogatz,25,0.09129172532977667,0.0046730120939322585,0.30053544353537875,25,0.04714555372726522,321
59,watts_strogatz,9,0.12449835351446231,0.008632260652661785,0.3709906952361841,47,0.04986388567432602,1291
60,barabasi_albert,3,0.11629337183842689,0.0047823898638643374,0.27000286205772284,50,0.012968745227819399,185
61,watts_strogatz,15,0.16901652082636462,0.006918493900972006,0.2819808026069893,35,0.029125872472610753,476
62,barabasi_albert,2,0.08791033429953038,0.002139422587492833,0.3286882931532784,50,0.03467995300915988,19
63,watts_strogatz,68,0.15793902977525803,0.0010225714176100274,0.495412871428388,50,0.045536865609053734,780
64,watts_strogatz,124,0.06525824482103765,0.0068500470872842,0.34630746663857814,7,0.03274516746743975,1911
65,watts_strogatz,11,0.07322797945554085,0.00976887197946236,0.29426035535748085,35,0.030285393917276367,793
66,watts_strogatz,28,0.030589176160699394,0.007522915231179103,0.2602853047874588,17,0.022248913593968384,332
67,barabasi_albert,29,0.024119108773482445,0.0012370906690747072,0.3690572600287534,45,0.02303701442093929,558
68,barabasi_albert,24,0.06846086102633747,0.005373806307714157,0.3509483866436848,11,0.0466353435383998,491
69,barabasi_albert,3,0.15543612249251967,0.006272969400907346,0.29101910432212014,46,0.042942646555955345,126
70,watts_strogatz,117,0.05576299102055218,0.009885868054594002,0.49470812089845956,6,0.044440295184490955,3559
71,barabasi_albert,60,0.18176110324621944,0.005930709092284649,0.2827601573571872,7,0.025964893606692505,1381
72,barabasi_albert,28,0.09689712879427101,0.007147984175490674,0.33811097083432434,10,0.011707557663019261,834
73,barabasi_albert,7,0.12782802791937045,0.003993055085583214,0.3858890059267816,50,0.010208881401841641,418
74,watts_strogatz,5,0.2160634073512135,0.008049259501931114,0.29092645068529793,50,0.011492290606725183,49
75,barabasi_albert,44,0.2480958356399097,0.00923124850497779,0.26804499532899,6,0.029063579065216595,1083
76,barabasi_albert,8,0.22945681590605713,0.0026124831402271455,0.47800980873851023,50,0.041773959585417346,170
77,watts_strogatz,37,0.13258667912109587,0.008419476397385805,0.3296938010520671,12,0.033183118013969004,1074
78,barabasi_albert,16,0.12350628296437671,0.009263869439608413,0.49488209068826156,17,0.011008059328518347,842
79,watts_strogatz,2,0.09620429695875067,0.00872660092898051,0.25508909730244694,50,0.0324895805403116,8
80,watts_strogatz,137,0.16131625719368295,0.005150438140991367,0.3426455436954926,7,0.047167193573026595,2110
81,barabasi_albert,38,0.12489143251182216,0.006482742301043089,0.20791312898963898,7,0.02982106923887453,1377
82,barabasi_albert,62,0.19544562013446518,0.0014110627716218702,0.24206610332746104,18,0.010030984537591214,1087
83,watts_strogatz,2,0.0015508965592223832,0.008247150953344162,0.29911633856925923,50,0.024647020943499572,63
84,watts_strogatz,54,0.10985526867410975,0.0030078827813198924,0.20137066134291196,16,0.02443070546647319,374
85,barabasi_albert,17,0.008127583926428122,0.0037264368482643495,0.40452112256018047,29,0.017536933104429893,472
86,watts_strogatz,27,0.07732263367990735,0.002281144943135808,0.4348549519884304,50,0.03157049740315636,269
87,barabasi_albert,48,0.20165970746336734,0.0037840311572884086,0.20835458685833425,11,0.01651527552723442,849
88,barabasi_albert,75,0.20226605841066606,0.008075576126327134,0.46640936671907146,6,0.024834817427640866,3562
89,barabasi_albert,36,0.2153813344699939,0.004275309074911492,0.40526564025509304,13,0.023579800993364746,2104
90,barabasi_albert,39,0.15823732679815208,0.0017228946599111576,0.35887644571897004,24,0.02211393571939302,1018
91,watts_strogatz,59,0.09937640102718812,0.0025230578126741983,0.24338715125225033,21,0.030832611892662953,836
92,barabasi_albert,5,0.23846034024963542,0.0032676963475229614,0.21560952968732625,50,0.016340253039778718,524
93,barabasi_albert,87,0.11882734316694932,0.0032571745574563617,0.4124880502424252,8,0.03668390585383648,2681
94,watts_strogatz,4,0.23248811923140134,0.00799767152147102,0.3199482886665121,50,0.011538910939383978,19
95,watts_strogatz,11,0.003791886065567601,0.0071069407887867034,0.49512906524861533,50,0.04786999285644516,167
96,barabasi_albert,49,0.1452412390754372,0.008807079661684557,0.44440641128546254,7,0.04230555866085466,3267
97,watts_strogatz,199,0.17902564880432964,0.0018551885825011118,0.3256959689393381,10,0.0480196831014349,2068
98,watts_strogatz,127,0.13073156310236342,0.004730173953933707,0.47345646736240776,10,0.03109514231750446,2467
99,barabasi_albert,56,0.1757906714857261,0.005608564459502762,0.4210763662953717,9,0.015239662775400103,1870
100,barabasi_albert,47,0.1679476034159529,0.008673163228417984,0.4423899968335252,7,0.046885426870868475,1652
101,watts_strogatz,9,0.17789537415579598,0.007013245706844468,0.35860425633547977,50,0.04502584346695546,324
102,barabasi_albert,34,0.12537531734398163,0.001670420405361442,0.2775826110343491,20,0.035440739888306705,771
103,watts_strogatz,187,0.19995397684068242,0.008896140728654488,0.3290186758694632,5,0.03820648063231949,3692
104,barabasi_albert,81,0.008216486120271482,0.006240328235040712,0.31852105919271734,6,0.02735967935195431,2224
105,watts_strogatz,4,0.24007655786302992,0.009102196525729085,0.3188979856113967,50,0.033271058176968474,10
106,barabasi_albert,23,0.021765560524829225,0.0018790105397468915,0.2770800063577836,29,0.027099248569410803,932
107,watts_strogatz,143,0.01800617340436525,0.0014302227721465152,0.42808249303694934,26,0.011710126105102091,1529
108,watts_strogatz,21,0.013365916853290971,0.0013688474688893692,0.42022282570376,50,0.01861909276040838,25
109,watts_strogatz,48,0.08400361058672035,0.008089199458493321,0.34841703087685266,13,0.022193575807618042,460
110,watts_strogatz,6,0.20334615149085342,0.008910092465837068,0.49599628437186233,50,0.04337523729069867,161
111,watts_strogatz,72,0.026555748621468755,0.003833593960590673,0.40190201118205093,18,0.022168712037071138,1559
112,barabasi_albert,35,0.06208106919908907,0.00373960090838434,0.47206585520398775,17,0.013716481758466941,2569
113,barabasi_albert,24,0.24599746867686342,0.0025918733087293777,0.2828436252920702,19,0.04751484458497371,424
114,watts_strogatz,116,0.029280295594887068,0.004843224181260044,0.41004335510968015,8,0.04445456298098674,1839
115,watts_strogatz,32,0.04476089592840271,0.0037711549320493722,0.4461785439583833,31,0.044521888592162676,776
116,barabasi_albert,26,0.22874989632203074,0.00810766701798511,0.23355004685420183,7,0.047675303303894585,550
117,barabasi_albert,5,0.24470990190622874,0.0073808151616755625,0.2999884973222653,26,0.04965942690905731,494
118,watts_strogatz,31,0.0498280419571904,0.009335235076827812,0.24428487148086941,10,0.0460974523777364,253
119,barabasi_albert,4,0.18286241479678275,0.001184759896289806,0.41896265252187226,50,0.0431684614323685,120
120,barabasi_albert,39,0.24342554813097864,0.004638687115459773,0.45733159104266347,11,0.03644852822167725,2462
121,watts_strogatz,7,0.14144311129606327,0.008662386902101155,0.3815369343144793,50,0.04717920663074789,475
122,barabasi_albert,74,0.23790133365119323,0.00517351221238956,0.25406450901799355,7,0.022319754679687196,2201
123,barabasi_albert,26,0.0888672352045953,0.00135711364282273,0.33347674202096,30,0.04902070939046299,1648
124,watts_strogatz,216,0.2288062593347004,0.005718789700632313,0.29342490996267445,5,0.04666712936521737,2773
125,barabasi_albert,60,0.18032262320319364,0.006261692808058253,0.4354570277195303,8,0.025771718781127634,2791
126,barabasi_albert,10,0.1592484774329105,0.0032315028285731236,0.3313901345280415,34,0.044535684470899006,246
127,watts_strogatz,11,0.009264471924764262,0.002497867339968208,0.28633838533520645,50,0.03494242564060182,125
128,barabasi_albert,104,0.058618824670975844,0.007034952765059782,0.292105767211814,5,0.04556468651503923,3367
129,watts_strogatz,2,0.022269204542878847,0.009382264895855797,0.4431429227008104,50,0.014930042227635472,21
130,barabasi_albert,11,0.06788621770820072,0.008519519478509513,0.20610098157794246,11,0.04160719672205977,1090
131,barabasi_albert,18,0.2236313158392486,0.002006269319426813,0.2672306973072376,26,0.04493284125170263,1120
132,watts_strogatz,24,0.2022642887726796,0.008400512878851518,0.3736184202830054,20,0.03042082590018863,642
133,barabasi_albert,7,0.23587562779831248,0.00805699796914857,0.4023939045230013,31,0.011144510180695556,2220
134,barabasi_albert,9,0.001404101905180255,0.008746472614784798,0.4515329441359063,21,0.017418417661292665,724
135,watts_strogatz,3,0.00018966700821291155,0.00996685933480089,0.3512605172680521,50,0.024600372665068433,119
136,barabasi_albert,4,0.0006061417487511489,0.006209875402776799,0.3020712596991665,43,0.03300435217235747,1460
137,barabasi_albert,33,0.13898662879408957,0.003069991531826133,0.263533712674282,13,0.03373662051622004,449
138,watts_strogatz,37,0.03938460447617578,0.008730619966853051,0.36621296280805604,17,0.01550853549973735,1703
139,watts_strogatz,29,0.13356168861258766,0.007110458117567977,0.3651061966795512,18,0.04108627713694396,313
140,barabasi_albert,42,0.16302609590730632,0.003719942733627258,0.4618106824103219,12,0.03602090966775645,1204
141,watts_strogatz,13,0.16690953220661717,0.00592031942686386,0.2578342302369243,50,0.013428206503528665,55
142,barabasi_albert,4,0.09441017837244572,0.0033773242647511872,0.2331608703112038,50,0.023067421899223978,493
143,barabasi_albert,85,0.14794923400019927,0.005058731445509076,0.3346071218779356,6,0.03135168506307982,2139
144,watts_strogatz,99,0.044841235668510226,0.0033623140432774146,0.4269029049605604,12,0.04842156661619717,1386
145,watts_strogatz,29,0.21717375335657488,0.0027796883382166506,0.30720777951892003,44,0.025010273568718502,1052
146,barabasi_albert,2,0.004986374825705908,0.002779212479892347,0.37586630843188296,50,0.010828890963808529,1
147,barabasi_albert,32,0.07587931091763903,0.006956543787464865,0.4326800483807161,10,0.028669042513042038,2713
148,barabasi_albert,17,0.24857446013175424,0.009433958299557305,0.45010271564416066,11,0.04533228105940057,1130
149,watts_strogatz,35,0.03881646661007446,0.006601732742287149,0.42961645427919737,25,0.014627725513007115,1644
150,watts_strogatz,102,0.10712460633513701,0.001665932738946593,0.4260783790079304,20,0.04463384057932056,1461
151,watts_strogatz,3,0.002159387706692162,0.0014376776546339244,0.3562268140696904,50,0.02097432875646892,3
152,barabasi_albert,34,0.12765528580440189,0.006364587840209925,0.4086589575104782,10,0.030347924914609983,2091
153,barabasi_albert,20,0.015570520788041886,0.0074179131668210396,0.3855834291045944,13,0.02557746642174323,448
154,barabasi_albert,49,0.0868303590107245,0.009062659957346831,0.27921534090021927,6,0.026005560288986,2062
155,watts_strogatz,217,0.16227927086393987,0.006640293832032992,0.41452035154376654,5,0.04541998885507022,3311
156,barabasi_albert,60,0.07210726420972632,0.003989779082593566,0.37964833942102044,9,0.03286612121898215,1272
157,watts_strogatz,46,0.23225918291833392,0.007101297537634762,0.24998305912887608,10,0.039814422997165,351
158,watts_strogatz,177,0.16790076797661846,0.008145245066085813,0.3602420721084524,6,0.025731056672539214,3879
159,barabasi_albert,10,0.21618140997024593,0.007376824347039274,0.27144866268710416,18,0.0247042611569067,405
160,barabasi_albert,88,0.07478256627533117,0.009492277692758917,0.26675502303485943,5,0.022516340691143097,2509
161,barabasi_albert,64,0.07458199071845281,0.0037825578892196716,0.423662030378237,10,0.01895802576777899,2251
162,barabasi_albert,6,0.1181740520674712,0.003067880932084455,0.431271716613553,50,0.018715388297713582,146
163,barabasi_albert,4,0.0271227284869969,0.001751633107410405,0.40455608594616355,50,0.034089446403827196,70
164,watts_strogatz,4,0.061862854773442555,0.00359403164862917,0.3776920100043166,50,0.021457512088802342,3
165,barabasi_albert,56,0.2318305091629937,0.0035586980525093305,0.2810841197141379,8,0.04165213233474189,926
166,watts_strogatz,17,0.04016252647478971,0.0028329910346355097,0.4055449808217705,50,0.029604941590241574,218
167,barabasi_albert,96,0.2217020394835972,0.00814403494605761,0.3887947254473674,7,0.010317524601368352,3798
168,watts_strogatz,120,0.2215888629090926,0.009439622484807845,0.3621685659037329,6,0.0374427045770255,2104
169,watts_strogatz,11,0.16608141358598888,0.004532812762910574,0.44353050049193476,50,0.01724765711865246,395
170,barabasi_albert,17,0.0033792136045627807,0.005736059804387495,0.2274131877809682,13,0.022312896776923406,644
171,barabasi_albert,22,0.18448802044777549,0.0026046404898834447,0.23243214258817085,17,0.03736684318132525,1051
172,watts_strogatz,173,0.12713467130488854,0.00754417541482865,0.29675004846114333,5,0.041958896378908116,2265
173,watts_strogatz,52,0.13934873368310396,0.008458887420048472,0.38185870980909625,10,0.03840752497940637,1936
174,watts_strogatz,34,0.24076317100431935,0.001470487095335366,0.4765163882620843,50,0.020379121360409022,132
175,barabasi_albert,18,0.16519921151603076,0.004398406767536885,0.2707350348938502,20,0.015835372032005073,768
176,watts_strogatz,91,0.19840973629076342,0.004732666573960381,0.43530553765081914,12,0.027957859243947995,2183
177,watts_strogatz,36,0.0397490335059934,0.00868381654448662,0.40032352392421305,12,0.04271104148030617,573
178,watts_strogatz,92,0.10575265832671504,0.002774073621632141,0.4394659409290147,17,0.029362983898546115,1204
179,barabasi_albert,8,0.03061742689817068,0.005877114920317507,0.4803730503335407,41,0.02048727396527536,1050
180,watts_strogatz,77,0.17770080341802125,0.009720593897967957,0.42902305731838525,7,0.044117642930438766,1958
181,watts_strogatz,2,0.10996186986887538,0.0031534132594194194,0.3247957472431722,50,0.02011680807749182,15
182,barabasi_albert,34,0.07337449402507853,0.008494918753672434,0.49247564456727544,9,0.035366311662306894,1019
183,watts_strogatz,42,0.10179146262962949,0.006317295287488425,0.27045271342330074,16,0.015142616610717946,1367
184,barabasi_albert,19,0.13377449483384005,0.007880085761831088,0.34177663484368914,13,0.010161456700474476,897
185,watts_strogatz,29,0.12916589941295134,0.0086712748504127,0.28398088113637227,16,0.024527626167226015,1169
186,watts_strogatz,68,0.1888655930408756,0.0024473011256161675,0.2870740194610576,22,0.019057418472710128,439
187,watts_strogatz,19,0.16681450362825265,0.002285404425242734,0.3336282428696371,50,0.022924827148603354,142
188,barabasi_albert,15,0.0979988228653203,0.006850221189983063,0.4610360811770017,20,0.028860419379116257,394
189,watts_strogatz,82,0.09175595174031875,0.007706450365504388,0.4428091851426865,9,0.02966719222346987,2154
190,barabasi_albert,8,0.059960092776888685,0.0015205793368336376,0.212936286656002,50,0.020986983959221363,44
191,barabasi_albert,58,0.24415810232638077,0.008734791726882664,0.20072303827042412,6,0.01788282194693502,1573
192,watts_strogatz,121,0.05653828057816543,0.004600387770280717,0.36788777280360085,11,0.01575418998835313,1883
193,barabasi_albert,16,0.07818084565060276,0.008435369801059089,0.4129491444958332,12,0.04332267986035363,1814
194,watts_strogatz,106,0.0907554877648361,0.008613654300551794,0.2494357874551642,6,0.03577606988127012,2281
195,barabasi_albert,59,0.07151821906714861,0.003724263380379643,0.2702714279784628,9,0.02737243845892552,1168
196,barabasi_albert,50,0.239081350551042,0.0037640327753743867,0.4562400525050378,12,0.017337992139069523,1881
197,barabasi_albert,35,0.0997791594315316,0.005775398330078335,0.4100464403484221,12,0.012206198068207046,811
198,watts_strogatz,200,0.18322652798104158,0.0018847896260871205,0.459238335761597,11,0.04854504002303921,2558
199,watts_strogatz,97,0.014331064651267378,0.005612467348208525,0.4453918617927206,11,0.019298960626229822,2811
200,barabasi_albert,45,0.07084972620571969,0.0011330088649781145,0.41244060278941586,35,0.015398497212260037,1174
201,barabasi_albert,5,0.16233722136154918,0.009890448954568674,0.3467174323958161,32,0.020590450633309075,143
202,barabasi_albert,29,0.23089306573416188,0.0036873460969561217,0.2194122894824825,15,0.015460986387554335,632
203,barabasi_albert,4,0.16958292693004556,0.003326416493325068,0.37500419106267935,50,0.010333622109953193,48
204,watts_strogatz,64,0.014386791409384314,0.008144919938622496,0.47414670746395554,9,0.04729886291846549,2320
205,watts_strogatz,43,0.09286162757412908,0.004394954940267044,0.48812894580959715,25,0.030038123662467595,1942
206,watts_strogatz,36,0.09240765979976612,0.009310181354439024,0.33998733626507394,13,0.02918925669293721,901
207,watts_strogatz,61,0.045896786374581056,0.0035235489670764402,0.31570468945221286,15,0.03973843723334916,1054
208,barabasi_albert,28,0.19365113882119325,0.009193579370373656,0.4867703123747369,9,0.04309029992283778,2596
209,watts_strogatz,96,0.10586368386826503,0.004528534159620226,0.33101539042037065,12,0.017789053233995707,2079
210,watts_strogatz,86,0.09029973104197864,0.003772943890403791,0.3121900541402849,12,0.028048056031102553,1023
211,barabasi_albert,71,0.026376927292527524,0.007167369926207535,0.4085483226319848,7,0.01087511373402346,2033
212,watts_strogatz,47,0.040046986588011674,0.006360388653517867,0.3591488282621264,16,0.018799902888202456,758
213,watts_strogatz,64,0.11840845390142574,0.004984976769581042,0.2094155128417789,14,0.015018893725736327,1042
214,watts_strogatz,20,0.005668151014463468,0.006662777084693977,0.32155469310143187,23,0.04838115968758104,1570
215,barabasi_albert,28,0.10031927678371352,0.008703059237829946,0.22209522894561387,7,0.0403658875936306,1832
216,watts_strogatz,47,0.06028991809278628,0.00589410353238197,0.2654796906544026,12,0.04310762137184492,791
217,barabasi_albert,13,0.17210582969939503,0.009456934703705611,0.33344759334469776,15,0.02232799603708579,2029
218,barabasi_albert,13,0.007084188397894292,0.007612114155437534,0.35674050002665103,23,0.012094728084712361,400
219,watts_strogatz,54,0.045087966588373274,0.0015969529135673602,0.26963305285934935,34,0.034673785470741604,1062
220,barabasi_albert,68,0.2254884721204126,0.0057034653320926386,0.46643053501477943,7,0.0417257022221506,1914
221,watts_strogatz,55,0.16613841689444123,0.009008477925887454,0.2949455594811451,9,0.034967745092365284,467
222,watts_strogatz,94,0.13335423610111155,0.005783882657728552,0.3985013181721666,9,0.02830758328905083,2337
223,barabasi_albert,79,0.14213200219329536,0.008872644396189146,0.3394434892909788,5,0.03402227802696995,2143
224,barabasi_albert,56,0.09268339527225919,0.00992295531177921,0.460106261879755,7,0.02494014150205031,2552
225,barabasi_albert,7,0.16391746505246102,0.0027525070894093328,0.26514467910107675,50,0.03195663261983273,478
226,watts_strogatz,126,0.2473871606877115,0.005524418122956968,0.22348061255628263,7,0.018682657672515493,970
227,barabasi_albert,73,0.12814886349355012,0.007350353889683817,0.3696569192961049,6,0.033379111097630004,2994
228,watts_strogatz,9,0.05097268655649312,0.008683892010424653,0.22460986905571248,46,0.01959748841340222,49
