n_nodes,n_edges,avg_degree,avg_clustering,n_sources,n_infected_nodes,n_iterations,percentage_infected,beta,threshold_infected,graph_type,neighbours,prob_reconnect
131,131,1.0,0.0,4,40,27,0.037107814661845866,0.1283818500798625,0.2864801809663469,watts_strogatz,2,0.23368865176157744
708,1416,2.0,0.26138350820554207,34,440,7,0.04910693886615805,0.28407957697653907,0.498066452148364,watts_strogatz,5,0.2209913765533284
332,332,1.0,0.0,8,151,26,0.026583530297745975,0.44896704212221633,0.44008340433479004,watts_strogatz,2,0.49170796466593103
284,283,0.9964788732394366,0.0,6,97,14,0.023474437461747568,0.195024368454786,0.2875305804800761,barabasi_albert,1,0.20087325015474816
154,154,1.0,0.01515151515151515,2,88,51,0.013261489546996255,0.212788258468497,0.5627792375615961,watts_strogatz,2,0.3532692600843133
1636,1635,0.9993887530562348,0.0,32,1064,10,0.020141804160017922,0.3989177159246581,0.5378369353852117,barabasi_albert,1,0.08401265832535948
1420,1419,0.9992957746478873,0.0,15,999,10,0.01081221865362529,0.4088572847278956,0.5577017651144451,barabasi_albert,1,0.25685483789437297
276,275,0.9963768115942029,0.0,5,130,7,0.02156114083991386,0.3527745396999013,0.31076384687589176,barabasi_albert,1,0.49574657157497937
338,338,1.0,0.0,16,121,16,0.04970436257797346,0.20210908202376787,0.3168357985099356,watts_strogatz,2,0.20197949265849074
1107,1106,0.999096657633243,0.0,23,560,7,0.02082330607795305,0.37515064667566106,0.38454399838938547,barabasi_albert,1,0.15831321019753614
282,281,0.9964539007092199,0.0,8,114,46,0.02933914109797224,0.04935759815071858,0.3817090357908953,barabasi_albert,1,0.12306326980490256
1055,3156,2.991469194312796,0.028345452570219667,33,784,6,0.03188381201903201,0.20319837777069372,0.40164046984313617,barabasi_albert,3,0.03880426927396524
639,1274,1.9937402190923317,0.046425556991049735,14,541,7,0.022882076056354984,0.3249645840766926,0.6287736278681175,barabasi_albert,2,0.011164377379656643
842,1684,2.0,0.0923415526147118,35,522,7,0.04175389213050438,0.2604499687942771,0.46798353683661326,watts_strogatz,4,0.4464783830687646
697,2082,2.987087517934003,0.031360703692466484,11,603,8,0.0166807956361033,0.1989750144085198,0.6064504480039942,barabasi_albert,3,0.11992018555377737
2337,4674,2.0,0.06467727584543993,112,2119,7,0.04798142107070498,0.3749559979923273,0.7094961453620001,watts_strogatz,5,0.4888072629945533
1362,5448,4.0,0.14125413662858624,64,1128,7,0.047383010388805005,0.14957484347919967,0.6419981503248646,watts_strogatz,9,0.38280337060738884
2771,5538,1.9985564778058462,0.011504509831560329,137,1813,4,0.049741977826870565,0.4512401610667981,0.20358211551679808,barabasi_albert,2,0.21341849120463002
1156,1155,0.9991349480968859,0.0,18,489,12,0.01570950599982623,0.19039918390593757,0.34568389410984046,barabasi_albert,1,0.4220375730300342
454,904,1.9911894273127753,0.04421558820291426,21,333,22,0.04645337122213777,0.05083992175133637,0.6884116663563952,barabasi_albert,2,0.11319872983804219
1019,3048,2.9911678115799805,0.029343307073074566,12,920,6,0.012743398686848933,0.31729171378406695,0.46128187413715377,barabasi_albert,3,0.3069625066866806
1424,4263,2.993679775280899,0.01953538716694724,22,1170,5,0.015821349384160254,0.3841484300256701,0.40129943314462674,barabasi_albert,3,0.05340249457471574
718,718,1.0,0.0,31,435,23,0.04443987478520166,0.3858251584875343,0.5681129212071254,watts_strogatz,2,0.15263932953529558
482,482,1.0,0.0,11,219,41,0.023683653270553533,0.1999919322242487,0.43396278393947835,watts_strogatz,2,0.32768765647061043
603,1206,2.0,0.17180894469451663,6,382,8,0.01095621669011408,0.4214928301678258,0.43663280340794414,watts_strogatz,5,0.30764638421075824
2205,4406,1.998185941043084,0.015288085056709592,50,1784,5,0.02271481046866341,0.4899574611311152,0.3907529879597875,barabasi_albert,2,0.23607558226898595
1421,8526,6.0,0.13306796445093538,23,1399,5,0.016533106952106285,0.35509931247944615,0.6602282527647845,watts_strogatz,13,0.4136784048721606
1437,5748,4.0,0.482983578703828,65,1068,4,0.04585661123536006,0.46366656471815487,0.26976018162163773,watts_strogatz,8,0.09765809707674072
862,861,0.9988399071925754,0.0,14,251,12,0.017194733993762968,0.15915604945648074,0.25574722637700414,barabasi_albert,1,0.2079540092478151
1577,7885,5.0,0.4851747245215864,65,748,5,0.041394456867405706,0.1437601613592566,0.25524716708281503,watts_strogatz,11,0.1063462867205236
1251,3744,2.9928057553956835,0.02916677067764798,52,1059,5,0.04186959780812046,0.30196028097421407,0.3918702765875145,barabasi_albert,3,0.09001669416409686
109,108,0.9908256880733946,0.0,4,57,8,0.045609550117984274,0.3022119589379863,0.4277285611012161,barabasi_albert,1,0.019090708903096443
1967,1966,0.9994916115912558,0.0,87,806,10,0.04464863460903562,0.15710725964943867,0.35034277000152425,barabasi_albert,1,0.09432961037791171
1388,1387,0.9992795389048992,0.0,23,468,10,0.017001617577315473,0.29621204580446797,0.26120636098793715,barabasi_albert,1,0.3363896500896846
